"month","day","carrier","origin","orstate","dest","deststate","depart","delay","duration","distance"
"5","1","AA","DCA","VA","CLT","NC",396,0,65,331
"4","1","YX","DCA","VA","BDL","CT",1281,0,55,313
"8","5","OH","DCA","VA","DAY","OH",1326,0,54,391
"5","1","DL","DCA","VA","ATL","GA",355,0,84,547
"8","4","AA","DCA","VA","LGA","NY",839,0,44,214
"8","1","AA","DCA","VA","TPA","FL",1334,1,111,814
"8","3","OH","DCA","VA","HSV","AL",837,0,86,613
"7","1","WN","DCA","VA","FLL","FL",559,0,122,899
"6","7","YX","DCA","VA","MCI","MO",1256,1,132,949
"7","6","YX","DCA","VA","JFK","NY",353,0,41,213
"8","5","DL","DCA","VA","DTW","MI",372,0,62,405
"6","5","AA","DCA","VA","BOS","MA",1194,0,66,399
